,State,Program,Per1000
0,CA,CAA,2579.9750727046116
1,CA,CWA,5191.3357400722025
2,CA,RCRA,49.16878859027112
0,CO,CAA,155.23668487974263
1,CO,CWA,30505.508583141174
2,CO,RCRA,494.97914413718524
0,CT,CAA,41.851851851851855
1,CT,CWA,1903.677758318739
2,CT,RCRA,18.787526631803214
0,DC,CAA,5.449591280653951
1,DC,CWA,287.08133971291863
2,DC,RCRA,441.22137404580155
0,DE,CAA,170.8860759493671
1,DE,CWA,3480.0
2,DE,RCRA,61.81015452538632
0,FL,CAA,574.6687054026504
1,FL,CWA,3154.040305983769
2,FL,RCRA,437.58238861059846
0,GA,CAA,874.8166259168704
1,GA,CWA,28371.473058412757
2,GA,RCRA,865.688277911945
0,HI,CAA,279.66101694915255
1,HI,CWA,3977.5541795665636
2,HI,RCRA,30.598052851182196
0,ID,CAA,20.177562550443906
1,ID,CWA,54350.42735042735
2,ID,RCRA,213.38912133891213
0,IL,CAA,241.15983026874116
1,IL,CWA,85520.56917441533
2,IL,RCRA,188.63546603475513
0,IN,CAA,4283.231083844581
1,IN,CWA,14427.790872080566
2,IN,RCRA,709.2844600526778
0,IA,CAA,144.5295870583227
1,IA,CWA,71817.87521079258
2,IA,RCRA,176.34615384615384
0,KS,CAA,414.33418150975405
1,KS,CWA,5439.194951390074
2,KS,RCRA,394.8317307692308
0,KY,CAA,131.46853146853147
1,KY,CWA,23682.68220460407
2,KY,RCRA,2237.980769230769
0,LA,CAA,11.609734315695468
1,LA,CWA,80451.48123765635
2,LA,RCRA,514.5973154362416
0,ME,CAA,58.8235294117647
1,ME,CWA,3486.731843575419
2,ME,RCRA,19.736842105263158
0,MD,CAA,10.782934833567746
1,MD,CWA,8670.601336302896
2,MD,RCRA,21.79379715004191
0,MA,CAA,3.5739814152966405
1,MA,CWA,3290.2208201892745
2,MA,RCRA,82.52816138002545
0,MI,CAA,981.157469717362
1,MI,CWA,168136.51274287156
2,MI,RCRA,325.97173144876325
0,MN,CAA,725.9668508287293
1,MN,CWA,8910.127137220517
2,MN,RCRA,68.94055184619097
0,MS,CAA,586.1136158701532
1,MS,CWA,12076.387507459718
2,MS,RCRA,215.9792140305294
0,MO,CAA,287.2294372294372
1,MO,CWA,84032.94095310423
2,MO,RCRA,1599.5444191343963
0,MT,CAA,
1,MT,CWA,14543.51184346035
2,MT,RCRA,188.26263800116212
0,NE,CAA,21.58273381294964
1,NE,CWA,19434.67543138866
2,NE,RCRA,922.875816993464
0,NV,CAA,319.3717277486911
1,NV,CWA,278.37195484254306
2,NV,RCRA,58.470164197036446
0,NH,CAA,46.319272125723735
1,NH,CWA,2167.883211678832
2,NH,RCRA,273.03182579564486
0,NJ,CAA,161.5748031496063
1,NJ,CWA,13146.144180932935
2,NJ,RCRA,122.357210476491
0,NM,CAA,130.9479205695017
1,NM,CWA,14685.821697099893
2,NM,RCRA,615.7358623112048
0,NY,CAA,101.22724652005601
1,NY,CWA,66271.6711349419
2,NY,RCRA,372.5526815451178
0,NC,CAA,1436.046511627907
1,NC,CWA,15812.509922209874
2,NC,RCRA,586.1033907726514
0,ND,CAA,
1,ND,CWA,5684.920634920635
2,ND,RCRA,1749.2323439099284
0,OH,CAA,407.39208385050335
1,OH,CWA,99772.3926380368
2,OH,RCRA,507.84765667874
0,OK,CAA,316.31246826720826
1,OK,CWA,142995.4128440367
2,OK,RCRA,354.5319465081724
0,OR,CAA,504.5317220543807
1,OR,CWA,2827.622561939905
2,OR,RCRA,221.99500113610543
0,PA,CAA,1452.5256991267825
1,PA,CWA,20898.988446234238
2,PA,RCRA,196.24566244408211
0,RI,CAA,30.592734225621413
1,RI,CWA,2009.4161958568739
2,RI,RCRA,31.70942634765062
0,SC,CAA,862.3445825932505
1,SC,CWA,18713.868139006172
2,SC,RCRA,849.4032960788028
0,SD,CAA,985.0746268656717
1,SD,CWA,20789.004457652303
2,SD,RCRA,0.0
0,TN,CAA,768.048606147248
1,TN,CWA,7223.657885961988
2,TN,RCRA,1249.0004442470013
0,TX,CAA,2724.2168250615982
1,TX,CWA,37448.09146229024
2,TX,RCRA,3548.630594522378
0,UT,CAA,13.008130081300813
1,UT,CWA,1699.4239240935276
2,UT,RCRA,544.509715318572
0,VT,CAA,53.63984674329502
1,VT,CWA,5880.952380952381
2,VT,RCRA,87.96599084368869
0,VA,CAA,134.8596518739219
1,VA,CWA,16848.335597826088
2,VA,RCRA,1364.516815666241
0,WA,CAA,903.7433155080214
1,WA,CWA,90834.6237225147
2,WA,RCRA,581.7724988579259
0,WV,CAA,126.37362637362638
1,WV,CWA,28438.574357356883
2,WV,RCRA,619.9714110680009
0,WI,CAA,953.0892448512586
1,WI,CWA,4721.920513453469
2,WI,RCRA,279.10823444804026
0,WY,CAA,25.735294117647058
1,WY,CWA,24630.653266331658
2,WY,RCRA,248.1089258698941
